DATA,DIA,TIPO,DESCRICAO,ESTADO,CODIGO_MUNICIPIO
01/10/2021,Aniversário da Cidade,MUNICIPAL,"Aniversário de Cruzeiro do Sul. Feriado movido para Sexta-Feira, segundo decreto municipal",AC,1200203.0
28/04/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AC,1200252.0
06/09/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AC,1200252.0
27/06/2021,Padroeira da Cidade,MUNICIPAL,"Homenagem a Nossa Senhora do Perpetuo Socorro, a Padroeira de Feijó, por meio da Lei Municipal de Nº 452 de 01 de junho de 2009",AC,1200302.0
06/09/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AC,1200302.0
21/12/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AC,1200302.0
30/05/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AC,1200336.0
06/09/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AC,1200336.0
14/05/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AC,1200344.0
06/09/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AC,1200344.0
18/11/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AC,1200344.0
30/03/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AC,1200385.0
06/09/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AC,1200385.0
06/09/2021,Feriado Municipal,MUNICIPAL,,AC,1200807.0
25/01/2021,Evangélico,MUNICIPAL,"Lei Municipal nº 1.601/2006 (Dia 23/01 transferido para o dia 25/01, conforme Lei Estadual no 2.126/2009)",AC,1200401.0
28/12/2021,Aniversário,MUNICIPAL,Aniversário do Município de Rio Branco - Lei Municipal nº 1.609/2006,AC,1200401.0
08/04/2021,Padre Paulino Baldassari,MUNICIPAL,Feriado em Homenagem a Morte de Padre Paulino Baldassari,AC,1200500.0
06/09/2021,Feriado Municipal,MUNICIPAL,,AC,1200500.0
25/09/2021,Feriado Municipal,MUNICIPAL,,AC,1200500.0
08/12/2021,Feriado Municipal,MUNICIPAL,,AC,1200500.0
14/05/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AC,1200450.0
31/05/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AC,1200450.0
06/09/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AC,1200450.0
24/04/2021,Aniversário da Cidade,MUNICIPAL,"Aniversário da Cidade de Tarauacá, segundo lei nº 152/79",AC,1200609.0
04/10/2021,S. Francisco Assis,MUNICIPAL,"Comemoração ao dia de São Francisco de Assis, conforme decreto no 161/1979",AC,1200609.0
06/09/2021,Feriado Municipal,MUNICIPAL,,AC,1200708.0
22/12/2021,Feriado Municipal,MUNICIPAL,,AC,1200708.0
24/04/2021,Feriado Municipal,MUNICIPAL,,AL,2700102.0
08/12/2021,Feriado Municipal,MUNICIPAL,,AL,2700102.0
02/02/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2700201.0
18/07/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2700201.0
20/07/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2700201.0
